JEL Subject,Title,Author(s),Journal,Year,Type,Affiliations,URL
A,Working Paper Series,Voir texte,,,Working Paper,,https://econpapers.repec.org/paper/
A,Journals,Voir texte,,,Journal Article,,https://econpapers.repec.org/article/
A,Preparing students for careers using business analytics and data-driven decision making,Nielsen Erland Hejn; Nielsen Steen,,2020.0,Working Paper,"Erland Hejn Nielsen: Department of Economics and Business Economics, Aarhus University, Postal: Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 4, DK-8210 Aarhus V",https://econpapers.repec.org/paper/aahaarhec/2020-08.htm
A,"Measuring Democracy - Eight indices: Polity, Freedom House and V-Dem",Paldam Martin,,2021.0,Working Paper,"Martin Paldam: Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2021-10.htm
A,Oeconstudiet og den ÃÂ¸konomiske faggruppe ved Aarhus Universitet fra 1936 til 1965,Hylleberg Svend,,2023.0,Working Paper,"Svend Hylleberg: Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2023-07.htm
A,Digital Tools in the Educational Environment Empower StudentCollaboration. A Study Case in Higher Education,Andra Diaconescu,Research & Education,2024.0,Journal Article,"Diaconescu Andra: Politehnica University of Timisoara, Faculty of Management in Production and Transportations,14 Remus Street, 300191 Timisoara, Romania",https://econpapers.repec.org/article/aaijournl/y_3a2024_3ai_3a10_3ap_3a77-102.htm
A,On the Gender Diversity of Research Teams in Economics Seminars,Biermann Marcus,AEA Papers and Proceedings,2023.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a113_3ay_3a2023_3ap_3a473-76.htm
A,Messages That Foster a Sense of Belonging Improve Learning and Satisfaction: An Experiment in an Online Environment,Forcada Sara Avila,AEA Papers and Proceedings,2023.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a113_3ay_3a2023_3ap_3a514-18.htm
A,Parenthood and Academic Career Trajectories,Lassen Anne Sophie; IvandiÄ Ria,AEA Papers and Proceedings,2024.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a238-42.htm
A,Impact versus Inclusion in the Economics Profession: Insights from the Papers and Proceedings,Bansak Cynthia; Dunn Wendy; Meade Ellen; Starr Martha,AEA Papers and Proceedings,2024.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a292-99.htm
A,Teaching-Track Economists: A Canadian Perspective,Murdock Jennifer; Cohen Avi,AEA Papers and Proceedings,2024.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a318-22.htm
A,"Male Is a Gender, Too: A Review of Why Gender Matters in Economics by Mukesh Eswaran",Nelson Julie,Journal of Economic Literature,2016.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a4_3ap_3a1362-76.htm
A,"Comments on Economic Models, Economics, and Economists: Remarks on Economics Rules by Dani Rodrik",Rubinstein Ariel,Journal of Economic Literature,2017.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a1_3ap_3a162-72.htm
A,Where Economics Went Wrong: A Review Essay,Johnson Marianne,Journal of Economic Literature,2020.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a3_3ap_3a749-76.htm
A,The Effect of Teaching Economics with Classroom Experiments: Estimates from a Within-Subject Experiment,Gelfer Sacha; Livingston Jeffrey A.; Roy Sutanuka,AEA Papers and Proceedings,2022.0,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a112_3ay_3a2022_3ap_3a619-23.htm
A,Some Journal of Economic Perspectives Articles Recommended for Classroom Use,Taylor Timothy,Journal of Economic Perspectives,2019.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a3_3ap_3a243-48.htm
