JEL Subject,Title,Author(s),Year,Type,Affiliations,URL
A,Preparing students for careers using business analytics and data-driven decision making,Erland Hejn Nielsen,2020,Working Paper," Department of Economics and Business Economics, Aarhus University, Postal: Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 4, DK-8210 Aarhus V",https://econpapers.repec.org/paper/aahaarhec/2020-08.htm
A,"Measuring Democracy - Eight indices: Polity, Freedom House and V-Dem",Martin Paldam,2021,Working Paper," Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2021-10.htm
A,Oeconstudiet og den Ã¸konomiske faggruppe ved Aarhus Universitet fra 1936 til 1965,Svend Hylleberg,2023,Working Paper," Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2023-07.htm
A,Digital Tools in the Educational Environment Empower StudentCollaboration. A Study Case in Higher Education,Diaconescu Andra,2024,Journal Article," Politehnica University of Timisoara, Faculty of Management in Production and Transportations,14 Remus Street, 300191 Timisoara, Romania",https://econpapers.repec.org/article/aaijournl/y_3a2024_3ai_3a10_3ap_3a77-102.htm
A,On the Gender Diversity of Research Teams in Economics Seminars,Voir texte,2023,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a113_3ay_3a2023_3ap_3a473-76.htm
A,Messages That Foster a Sense of Belonging Improve Learning and Satisfaction: An Experiment in an Online Environment,Voir texte,2023,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a113_3ay_3a2023_3ap_3a514-18.htm
A,Parenthood and Academic Career Trajectories,Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a238-42.htm
A,Impact versus Inclusion in the Economics Profession: Insights from the Papers and Proceedings,Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a292-99.htm
A,Teaching-Track Economists: A Canadian Perspective,Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a114_3ay_3a2024_3ap_3a318-22.htm
A,"Male Is a Gender, Too: A Review of Why Gender Matters in Economics by Mukesh Eswaran",Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a4_3ap_3a1362-76.htm
A,"Comments on Economic Models, Economics, and Economists: Remarks on Economics Rules by Dani Rodrik",Voir texte,2017,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a1_3ap_3a162-72.htm
A,Where Economics Went Wrong: A Review Essay,Voir texte,2020,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a3_3ap_3a749-76.htm
A,The Effect of Teaching Economics with Classroom Experiments: Estimates from a Within-Subject Experiment,Voir texte,2022,Journal Article,,https://econpapers.repec.org/article/aeaapandp/v_3a112_3ay_3a2022_3ap_3a619-23.htm
A,Some Journal of Economic Perspectives Articles Recommended for Classroom Use,Voir texte,2019,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a3_3ap_3a243-48.htm
A,Lessons for Expanding the Share of Disadvantaged Students in Economics from the AEA Summer Program at Michigan State University,Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a3_3ap_3a191-208.htm
A,Rational rollout of new medicines for diseases of poverty,Roger Bate,2015,Journal Article, American Enterprise Institute,https://econpapers.repec.org/article/aeijournl/y_3a2015_3aid_3a842989.htm
A,Understanding middle-class tax cuts,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a881479.htm
A,The candidates in their own words: A textual analysis of 2016 president primary debates,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a882015.htm
A,Smoking out illicit trade: How some policies intended to limit smoking drive illegal trade,Roger Bate,2016,Journal Article, American Enterprise Institute,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a901015.htm
A,Tax reform: Ryan-Brady plan is a better way,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a905729.htm
B,Stress for Success: A Review of Timothy Geithner's Financial Crisis Memoir,Voir texte,2015,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a53_3ay_3a2015_3ai_3a4_3ap_3a975-95.htm
B,Game Theory and Cold War Rationality: A Review Essay,Voir texte,2017,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a1_3ap_3a148-61.htm
