,author_name,short_id,institution,share_pct,location,repec_institution_id,author_url,matched_author,match_score,matched_index
10255,"Gardes, francois",pga700,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pga700.html,gardes francois,90.32258064516128,57682
12503,"Johansson, Per",pjo10,Institute of Labor Economics (IZA),6%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pjo10.html,han,90.0,135569
21751,"Romagnoli, Angela",pro955,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pro955.html,ela,90.0,140131
21204,"Pronzato, Chiara Daniela",ppr62,Institute of Labor Economics (IZA),3%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/ppr62.html,ela,90.0,140131
12974,"Kettlewell, Nathan",pke350,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pke350.html,han,90.0,135569
249,"Abeler, Johannes",pab169,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pab169.html,han,90.0,135569
12667,"Jakiela, Pamela",pja260,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pja260.html,ela,90.0,140131
22301,"Rottier, Stephane",pro610,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pro610.html,han,90.0,135569
17415,"Mariani, Fabio",pma1135,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pma1135.html,ariani,90.0,138611
11121,"Hoffmann, Johannes Maria",pho213,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pho213.html,han,90.0,135569
12479,"Johannesen, Niels",pjo288,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pjo288.html,han,90.0,135569
3001,"Baskaran, Thushyanthan",pba615,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),1%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pba615.html,han,90.0,135569
12497,"Jayachandran, Seema",pja86,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pja86.html,han,90.0,135569
17419,"Mariani, Gioia Maria",pma3508,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pma3508.html,ariani,90.0,138611
17515,"Moyen, Stephane",pmo272,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pmo272.html,han,90.0,135569
5649,"Ciapanna, Emanuela",pci64,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pci64.html,ela,90.0,140131
25329,"Schoonjans, Eline",psc956,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/psc956.html,jan,90.0,122147
8924,"Flabbi, Luca",pfl26,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pfl26.html,lab,90.0,140133
28942,"Zhang, Junfu",pzh105,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pzh105.html,han,90.0,135569
27508,"Van der Vorst, Camille",pva981,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pva981.html,n d,90.0,37003
9359,"Ghorpade, Yashodhan",pgh160,Institute of Labor Economics (IZA),49%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pgh160.html,han,90.0,135569
25438,"Schueler, Yves Stephan",psc699,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/psc699.html,han,90.0,135569
22344,"Rincke, Johannes",pri75,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pri75.html,han,90.0,135569
3162,"Bubeck, Johannes",pbu503,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pbu503.html,han,90.0,135569
12114,"Haskel, Jonathan E.",pha161,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pha161.html,han,90.0,135569
17280,"Marconi, Daniela",pma509,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pma509.html,ela,90.0,140131
250,"Abeler, Johannes",pab169,CESifo,5%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pab169.html,han,90.0,135569
28830,"Ye, Han",pye151,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),5%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/pye151.html,e,90.0,47417
26360,"Tischer, Johannes",pti261,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pti261.html,han,90.0,135569
2376,"Beutel, Johannes",pbe1191,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pbe1191.html,han,90.0,135569
9805,"Giordano, Raffaela",pgi150,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pgi150.html,ela,90.0,140131
27087,"Villanueva, Alejandro",pvi503,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pvi503.html,jan,90.0,122147
7059,"Duerr, Niklas Stephan",pdu390,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pdu390.html,han,90.0,135569
17516,"Mesonnier, Jean-Stephane",pms5,Banque de France,90%,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/pms5.html,han,90.0,135569
29207,"Zhen, Ni",pzh1105,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pzh1105.html,e,90.0,47417
29197,"Zuber, Stephane",pzu8,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pzu8.html,han,90.0,135569
21533,"Qendrai, Pamela",pqe3,Institute of Labor Economics (IZA),100,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pqe3.html,ela,90.0,140131
18587,"Nispi Landi, Valerio",pni394,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pni394.html,andi,90.0,98884
3328,"Buesa, Alejandro",pbu510,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pbu510.html,jan,90.0,122147
26077,"Thomsen, Stephan Lothar",pth80,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),5%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/pth80.html,han,90.0,135569
475,"Arlia, Daniela",par655,Joint Research Centre European Commission,50%,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/par655.html,ela,90.0,140131
26078,"Thomsen, Stephan Lothar",pth80,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pth80.html,han,90.0,135569
28737,"Wunnava, Phanindra V.",pwu54,Institute of Labor Economics (IZA),33%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pwu54.html,han,90.0,135569
7542,"Delaney, Judith M.",pde1111,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pde1111.html,ela,90.0,140131
19781,"Paffenholz, Michaela",ppa1636,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/ppa1636.html,ela,90.0,140131
17815,"Michelangeli, Valentina",pmi305,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pmi305.html,ela,90.0,140131
22732,"Rujan, Cristina",pru419,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pru419.html,jan,90.0,122147
